byte,count
52e1,13
94b9,17
71e8,12
3f8e,15
0d1f,7
4548,13
53ee,17
9ade,16
5e11,11
6f99,10
cddc,15
f862,11
88a6,11
2a5c,15
d1f6,18
3819,9
832d,17
ec08,15
6eba,16
705c,9
49a5,9
a938,17
17f0,14
173e,15
69f9,20
ece8,17
7988,10
1c4d,17
7ce8,10
4362,15
a794,11
8a72,15
0da8,16
a59f,17
0915,14
18bc,13
d1aa,9
716a,13
f073,14
ad08,21
1e90,15
3947,13
8b78,12
99f9,24
ab0b,17
8ca5,12
7a75,10
0862,9
8954,18
a023,14
d446,13
3a73,16
787b,19
896c,14
81c9,7
fd43,17
3a45,15
a2e3,12
95f9,17
e279,15
cdcb,10
c4ca,14
bb90,12
8894,16
7c78,12
8905,12
8e75,20
193d,14
7d08,21
8f4a,11
9379,15
5489,14
e764,14
92be,11
409c,12
ec5a,17
4d34,17
109e,9
579e,19
cc6f,12
174e,9
39d1,12
f5cf,18
f2ab,12
97d6,16
42ce,12
6edb,12
fb19,14
a0fc,20
7518,17
f3fd,18
1ea4,16
cf47,10
badb,15
54db,7
20dc,12
9d3f,14
3e7d,13
6026,6
e3cf,12
d467,19
1769,14
a9b0,12
91fb,14
ae8c,18
2928,12
0b0a,9
ceb1,973
1bd7,17
03b8,12
41f7,14
1eb6,24
0843,16
644b,14
ec3a,14
c672,14
0931,20
6eb8,12
a7e8,15
7c4e,4
4642,14
14dd,10
2645,14
7927,12
71f0,13
a678,13
7eeb,16
892a,10
5461,11
f455,21
370c,11
eb87,16
3264,17
a9ec,11
137c,23
d070,14
b5ec,11
dd26,10
5ecb,14
eb1b,6
3d62,11
ffc3,14
c727,12
8141,8
7ce4,13
66f7,17
34dd,16
3709,15
dc11,26
21bc,12
d063,19
51a0,17
1c27,14
216b,13
ac3e,9
b12e,17
84c1,18
1939,12
6766,13
2ede,8
2d18,11
f8b3,13
4c9d,13
0682,17
f816,14
16f2,22
5ad5,18
5715,13
3823,14
6ebb,12
5f5d,15
eb25,15
736d,11
3d42,15
c854,14
6ab1,21
9fd7,19
3a9e,14
2135,13
c3e1,15
53ef,16
d9ec,14
f6c8,19
c84e,15
f73b,12
31d1,13
5561,14
4623,15
52a3,16
2878,10
dea8,12
151e,13
2864,10
962e,15
7f21,10
fecf,16
7d3f,21
1916,10
fc37,19
a59b,11
f8af,16
5a17,10
46fe,7
0f28,16
e2c5,14
5e94,15
8794,10
45ed,19
b797,13
0fed,17
9022,16
9a7e,21
c13e,20
f2c0,16
2a2c,11
b0c6,12
5510,17
48f0,18
3d57,12
ce8f,11
23f6,23
c74a,16
835c,17
49bb,18
0249,13
b8d8,14
217c,19
7135,19
3bf8,18
c6ae,14
367c,25
6451,17
8ab6,15
97bf,16
5542,14
cfa1,13
cb50,19
2881,11
7eab,9
75aa,20
2034,18
c5a5,16
e3d7,11
a939,15
4508,18
a280,12
1080,15
b013,19
d542,19
d21b,14
323d,18
d7b4,14
f44c,15
64be,12
9726,21
eb6e,16
51e4,13
2d1f,21
708f,17
d9f1,16
a0d7,12
4282,14
df8d,19
512c,14
05ff,14
6c9f,11
e07a,12
dacf,17
8146,20
6817,12
af5c,12
dd4d,14
5e0f,8
b1e5,13
2bbf,12
a2b0,12
75d6,12
cb20,20
32b5,20
c080,14
